KIC,Teff_spec,e_Teff_spec,[M/H],e_[M/H],Dnu,e_Dnu,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,astrometric_params_solved,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,rpgeo,ebv,phot_g_mean_mag_corr,logg,Teff,e_Teff,luminosity,e_luminosity,numax_yu,e_numax_yu,numax,e_numax
7178170,4736.8076,100,-0.46910155,0.06,8.38,0.02,283.3242419131639,0.0076502636,42.78412627429432,0.008695154,0.995025590865142,0.009409596,12.454452,11.170667,11.887204,31,1.456357,,65.1302185866692,10.223,0.021,9.675,0.017,9.571,0.016,979.850647,0.11,11.887204,2.83761391489611,4763,100,17.961516279811384,0.7228190158388923,85.69,0.64,84.99014256190604,0.511594046946769
7183922,4675.067,100,-0.37296155,0.06,3.378,0.011,285.948172969668,0.007595555,42.741515655352224,0.008351766,0.4336138034758503,0.008679652,12.612681,11.359726,12.060645,31,1.4617723,,64.63273203699092,10.445,0.021,9.903,0.018,9.759,0.011,2210.67261,0.06,12.060645,2.352853271418988,4711,100,74.26614057210548,4.414193604421513,28.25,0.57,27.67199318466689,0.407248779218728
7184978,4429.212,100,0.07715945,0.06,3.93,0.017,286.40871203510386,0.0084683625,42.78448141906439,0.009101212,0.5482980903897514,0.009643757,12.930872,11.539374,12.297545,31,1.4344801,,64.58684104192399,10.556,0.024,9.932,0.018,9.81,0.016,1798.18225,0.06,12.297545,2.4319329003424763,4502,100,40.92266548214029,2.307860859505702,34.82,0.48,33.913311325829326,0.282203158124343
7185001,4742.377,100,0.39722845,0.06,14.589,0.064,286.4170562968084,0.012331767,42.75264666995863,0.013371744,0.807231391094115,0.014135871,13.468238,12.1727,12.895289,31,1.4531236,,64.55451282832767,11.249,0.024,10.728,0.018,10.629,0.016,1220.8269,0.06,12.895289,3.1780328491410903,4722,100,9.98448358743584,0.5608891303232335,187.54,0.9,186.93272989627,0.703303432068523
7186542,4612.6494,100,0.09464945,0.06,4.274,0.012,287.0721745074225,0.008426184,42.79381159528605,0.009877673,0.5689354421508994,0.010008546,12.480698,11.164019,11.889917,31,1.4483708,,64.46613072657091,10.173,0.021,9.659,0.017,9.504,0.011,1683.67896,0.049999997,11.889917,2.516335869283774,4596,100,49.40844700517083,2.6789876003959634,41.44,0.76,40.547307040475815,0.419499211207359
7187059,4618.3564,100,0.02317645,0.06,5.603,0.011,287.28705111863536,0.0077121197,42.780321932018914,0.008270486,0.7116343875569178,0.008996826,12.494303,11.199933,11.916783,31,1.4522575,,64.41021159293557,10.221,0.023,9.697,0.02,9.576,0.011,1353.27637,0.099999994,11.916783,2.6343841703044872,4725,100,33.25362839918675,1.52983455967758,54.35,0.52,53.788304447633536,0.39281082398294
7188323,4884.1143,100,-0.15387155,0.06,11.239,0.013,287.8186020924428,0.008712263,42.72540593430547,0.010257392,0.7518568507318912,0.01053205,13.017421,11.815965,12.493341,31,1.4719976,,64.24935479372677,10.98,0.021,10.458,0.017,10.365,0.014,1313.03271,0.089999996,12.493341,3.043593498618525,4940,100,16.948420786137937,0.8164045359796663,135.6,1.28,132.84727661180793,1.025591469531
7188662,4839.805,100,0.01420045,0.06,9.408,0.02,287.96260219054204,0.007948053,42.76445915653581,0.009773873,0.7664456099921366,0.009913721,12.713319,11.510036,12.1872015,31,1.4707899,,64.25708263285276,10.661,0.021,10.154,0.021,10.026,0.011,1289.00549,0.049999997,12.1872015,2.951772819713236,4838,100,20.878199545412947,0.9660562361014744,110.26,0.72,108.88763613036303,0.565395854647583
7189418,4737.5303,100,0.07432145,0.06,10.155,0.012,288.26095601363824,0.008815746,42.72390352575626,0.009315582,0.7073249711415743,0.009926554,13.281638,12.024441,12.725694,31,1.460362,,64.15593159123989,11.111,0.021,10.575,0.02,10.455,0.011,1389.44751,0.089999996,12.725694,2.962230860040686,4797,100,16.103837115149844,0.7755585523509678,114.16,0.51,113.2354978578497,0.406021963108126
7200117,4651.165,100,0.20475845,0.06,5.547,0.014,291.71517657460413,0.022683473,42.77654498075423,0.027210664,1.2840768068855406,0.027552217,10.979855,9.69429,10.405791,31,1.4549619,,63.425214195796656,8.735,0.026,8.214,0.02,8.1,0.015,772.099426,0.06,10.405791,2.66557013000537,4682,100,39.39155409981362,2.571747808750594,58.19,0.55,57.209604723304054,0.395497029959892
7204026,4700.6333,100,0.08968345,0.06,7.615,0.017,292.94391261577266,0.017646335,42.767262981208496,0.020109614,0.882253545705322,0.021719005,13.0118065,11.64308,12.392652,31,1.4394687,,63.11342194794887,10.645,0.021,10.062,0.017,9.941,0.015,1128.63379,0.12,12.392652,2.8050219774080154,4647,100,15.612801569980949,1.124949585938224,79.8,0.58,79.03476273503715,0.558615778310287
7211754,4413.5093,100,0.35090846,0.06,2.682,0.015,295.12595543193373,0.008845282,42.76403629007017,0.009682793,0.9454944925889428,0.010226052,11.250189,9.726284,10.537355,31,1.4131086,,62.54212315923145,8.614,0.023,7.975,0.027,7.814,0.021,1031.71985,0.10542471,10.537355,2.2407426745778904,4372,100,79.09539844570834,3.4177814004739915,22.46,0.42,21.958591054812192,0.316293649910871
