index, star_mass, Xinit, Yinit, Zinit, amlt, fov_shell, fov0_shell, fov_core, fov0_core
24185, 1.77107, 0.60470563, 0.36835724, 0.02693714, 1.443320, 0.003855, 0.001928, 0.000539, 0.000269
24186, 2.17107, 0.73419022, 0.26335724, 0.00245254, 1.793320, 0.005855, 0.002928, 0.005539, 0.002769
24187, 1.37107, 0.65435089, 0.33335724, 0.01229187, 2.493320, 0.001855, 0.000928, 0.015539, 0.007769
24188, 1.17107, 0.71546237, 0.28085724, 0.00368039, 1.618320, 0.000855, 0.000428, 0.008039, 0.004019
24189, 1.97107, 0.63089276, 0.35085724, 0.01825000, 2.318320, 0.004855, 0.002428, 0.018039, 0.009019
24190, 1.57107, 0.74505420, 0.24585724, 0.00908856, 2.668320, 0.002855, 0.001428, 0.013039, 0.006519
24191, 0.77107, 0.64022502, 0.31585724, 0.04391775, 1.968320, 0.006855, 0.003428, 0.003039, 0.001519
24192, 0.79607, 0.73996778, 0.25679474, 0.00323748, 2.077695, 0.001730, 0.000865, 0.018351, 0.009176
24193, 1.59607, 0.65703986, 0.32679474, 0.01616541, 1.377695, 0.005730, 0.002865, 0.008351, 0.004176
24194, 1.99607, 0.70093297, 0.29179474, 0.00727229, 1.727695, 0.003730, 0.001865, 0.003351, 0.001676
24195, 1.19607, 0.60302261, 0.36179474, 0.03518265, 2.427695, 0.007730, 0.003865, 0.013351, 0.006676
24196, 1.39607, 0.75561435, 0.23929474, 0.00509091, 1.552695, 0.006730, 0.003365, 0.000851, 0.000426
24197, 2.19607, 0.66549151, 0.30929474, 0.02521375, 2.252695, 0.002730, 0.001365, 0.010851, 0.005426
24198, 1.79607, 0.72364926, 0.27429474, 0.00205600, 2.602695, 0.004730, 0.002365, 0.015851, 0.007926
24199, 0.99607, 0.64539381, 0.34429474, 0.01031145, 1.902695, 0.000730, 0.000365, 0.005851, 0.002926
24200, 1.09607, 0.69365578, 0.30054474, 0.00579948, 2.515195, 0.000230, 0.000115, 0.009601, 0.004801
24201, 1.89607, 0.73490312, 0.23054474, 0.03455214, 1.815195, 0.004230, 0.002115, 0.019601, 0.009801
24202, 2.29607, 0.66212082, 0.33554474, 0.00233444, 1.465195, 0.002230, 0.001115, 0.014601, 0.007301
24203, 1.49607, 0.72017672, 0.26554474, 0.01427855, 2.165195, 0.006230, 0.003115, 0.004601, 0.002301
24204, 1.29607, 0.68039748, 0.31804474, 0.00155779, 1.990195, 0.007230, 0.003615, 0.012101, 0.006051
24205, 2.09607, 0.74239695, 0.24804474, 0.00955831, 2.690195, 0.003230, 0.001615, 0.002101, 0.001051
24206, 1.69607, 0.64346171, 0.35304474, 0.00349356, 2.340195, 0.005230, 0.002615, 0.007101, 0.003551
24207, 0.89607, 0.69571422, 0.28304474, 0.02124104, 1.640195, 0.001230, 0.000615, 0.017101, 0.008551
24208, 0.84607, 0.71699380, 0.27866974, 0.00433646, 1.771445, 0.003480, 0.001740, 0.012726, 0.006363
24209, 1.64607, 0.62990649, 0.34866974, 0.02142377, 2.471445, 0.007480, 0.003740, 0.002726, 0.001363
24210, 2.04607, 0.75440617, 0.24366974, 0.00192409, 2.121445, 0.001480, 0.000740, 0.007726, 0.003863
24211, 1.24607, 0.67662587, 0.31366974, 0.00970440, 1.421445, 0.005480, 0.002740, 0.017726, 0.008863
24212, 1.44607, 0.70107676, 0.29616974, 0.00275350, 2.646445, 0.004480, 0.002240, 0.005226, 0.002613
24213, 2.24607, 0.62013389, 0.36616974, 0.01369637, 1.946445, 0.000480, 0.000240, 0.015226, 0.007613
24214, 1.84607, 0.73201255, 0.26116974, 0.00681771, 1.596445, 0.006480, 0.003240, 0.010226, 0.005113
24215, 1.04607, 0.63554396, 0.33116974, 0.03328630, 2.296445, 0.002480, 0.001240, 0.000226, 0.000113
24216, 0.94607, 0.64055293, 0.35741974, 0.00202733, 1.333945, 0.002980, 0.001490, 0.003976, 0.001988
24217, 1.74607, 0.70011957, 0.28741974, 0.01246069, 2.033945, 0.006980, 0.003490, 0.013976, 0.006988
24218, 2.14607, 0.67253268, 0.32241974, 0.00504758, 2.383945, 0.000980, 0.000490, 0.018976, 0.009488
24219, 1.34607, 0.71730595, 0.25241974, 0.03027432, 1.683945, 0.004980, 0.002490, 0.008976, 0.004488
24220, 1.14607, 0.65253844, 0.33991974, 0.00754182, 2.208945, 0.005980, 0.002990, 0.016476, 0.008238
24221, 1.94607, 0.68552556, 0.26991974, 0.04455470, 1.508945, 0.001980, 0.000990, 0.006476, 0.003238
24222, 1.54607, 0.69170899, 0.30491974, 0.00337127, 1.858945, 0.007980, 0.003990, 0.001476, 0.000738
24223, 0.74607, 0.74467068, 0.23491974, 0.02040958, 2.558945, 0.003980, 0.001990, 0.011476, 0.005738
24224, 0.73357, 0.70941582, 0.28851349, 0.00207069, 1.826132, 0.002418, 0.001209, 0.008195, 0.004097
24225, 1.53357, 0.63112721, 0.35851349, 0.01035930, 2.526132, 0.006418, 0.003209, 0.018195, 0.009097
24226, 1.93357, 0.74135506, 0.25351349, 0.00513145, 2.176132, 0.000418, 0.000209, 0.013195, 0.006597
24227, 1.13357, 0.65114169, 0.32351349, 0.02534482, 1.476132, 0.004418, 0.002209, 0.003195, 0.001597
24228, 1.33357, 0.72129824, 0.27101349, 0.00768827, 2.351132, 0.005418, 0.002709, 0.010695, 0.005347
24229, 2.13357, 0.62172083, 0.34101349, 0.03726568, 1.651132, 0.001418, 0.000709, 0.000695, 0.000347
24230, 1.73357, 0.76056788, 0.23601349, 0.00341863, 1.301132, 0.007418, 0.003709, 0.005695, 0.002847
24231, 0.93357, 0.67687755, 0.30601349, 0.01710897, 2.001132, 0.003418, 0.001709, 0.015695, 0.007847
24232, 1.03357, 0.64662973, 0.34976349, 0.00360678, 1.563632, 0.003918, 0.001959, 0.019445, 0.009722
24233, 1.83357, 0.69833239, 0.27976349, 0.02190412, 2.263632, 0.007918, 0.003959, 0.009445, 0.004722
24234, 2.23357, 0.68362852, 0.31476349, 0.00160799, 2.613632, 0.001918, 0.000959, 0.004445, 0.002222
24235, 1.43357, 0.74537735, 0.24476349, 0.00985916, 1.913632, 0.005918, 0.002959, 0.014445, 0.007222
24236, 1.23357, 0.63045293, 0.36726349, 0.00228358, 2.088632, 0.004918, 0.002459, 0.001945, 0.000972
24237, 2.03357, 0.68870841, 0.29726349, 0.01402811, 1.388632, 0.000918, 0.000459, 0.011945, 0.005972
24238, 1.63357, 0.66204989, 0.33226349, 0.00568662, 1.738632, 0.006918, 0.003459, 0.016945, 0.008472
24239, 0.83357, 0.70374437, 0.26226349, 0.03399215, 2.438632, 0.002918, 0.001459, 0.006945, 0.003472
24240, 0.88357, 0.76107921, 0.23163849, 0.00728230, 2.307382, 0.000668, 0.000334, 0.002570, 0.001285
24241, 1.68357, 0.66270344, 0.30163849, 0.03565807, 1.607382, 0.004668, 0.002334, 0.012570, 0.006285
24242, 2.08357, 0.73041432, 0.26663849, 0.00294719, 1.957382, 0.002668, 0.001334, 0.017570, 0.008785
24243, 1.28357, 0.64864365, 0.33663849, 0.01471787, 2.657382, 0.006668, 0.003334, 0.007570, 0.003785
24244, 1.48357, 0.74889923, 0.24913849, 0.00196228, 1.432382, 0.007668, 0.003834, 0.015070, 0.007535
24245, 2.28357, 0.67097496, 0.31913849, 0.00988655, 2.132382, 0.003668, 0.001834, 0.005070, 0.002535
24246, 1.88357, 0.71144095, 0.28413849, 0.00442056, 2.482382, 0.005668, 0.002834, 0.000070, 0.000035
24247, 1.08357, 0.62405620, 0.35413849, 0.02180531, 1.782382, 0.001668, 0.000834, 0.010070, 0.005035
24248, 0.98357, 0.66876293, 0.32788849, 0.00334858, 2.569882, 0.001168, 0.000584, 0.013820, 0.006910
24249, 1.78357, 0.72178802, 0.25788849, 0.02032349, 1.869882, 0.005168, 0.002584, 0.003820, 0.001910
24250, 2.18357, 0.62963537, 0.36288849, 0.00747615, 1.519882, 0.003168, 0.001584, 0.008820, 0.004410
24251, 1.38357, 0.66285213, 0.29288849, 0.04425938, 2.219882, 0.007168, 0.003584, 0.018820, 0.009410
24252, 1.18357, 0.68433487, 0.31038849, 0.00527664, 1.694882, 0.006168, 0.003084, 0.006320, 0.003160
24253, 1.98357, 0.72804359, 0.24038849, 0.03156792, 2.394882, 0.002168, 0.001084, 0.016320, 0.008160
24254, 1.58357, 0.65248992, 0.34538849, 0.00212159, 2.044882, 0.004168, 0.002084, 0.011320, 0.005660
24255, 0.78357, 0.71160009, 0.27538849, 0.01301142, 1.344882, 0.000168, 0.000084, 0.001320, 0.000660
24256, 0.75857, 0.62597593, 0.36945099, 0.00457308, 2.679257, 0.007293, 0.003646, 0.017257, 0.008629
24257, 1.55857, 0.67290476, 0.29945099, 0.02764425, 1.979257, 0.003293, 0.001646, 0.007257, 0.003629
24258, 1.95857, 0.66350494, 0.33445099, 0.00204407, 1.629257, 0.005293, 0.002646, 0.002257, 0.001129
